0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1.0,0.95516,0.77166,0.99175,0.85773,0.99127,0.87311,0.68479,0.96035,0.91249,0.97462,0.90936,0.92725,0.73617,0.97708,0.81902,0.98105,0.97727,0.92926,0.89765
0.95516,1.0,0.91095,0.96085,0.96737,0.96897,0.973,0.84136,0.93496,0.97712,0.95129,0.98773,0.98933,0.88288,0.96474,0.94285,0.97465,0.97976,0.99582,0.98361
0.77166,0.91095,1.0,0.77309,0.9749,0.79705,0.97882,0.98477,0.74948,0.93801,0.79924,0.9567,0.94034,0.99577,0.79322,0.99508,0.81589,0.82914,0.93586,0.96597
0.99175,0.96085,0.77309,1.0,0.86921,0.99346,0.87642,0.67738,0.9752,0.91464,0.96663,0.9174,0.93539,0.73543,0.99156,0.82196,0.99203,0.9906,0.9354,0.90206
0.85773,0.96737,0.9749,0.86921,1.0,0.88429,0.99313,0.93026,0.85142,0.97534,0.87544,0.9889,0.98273,0.95847,0.88721,0.98708,0.89985,0.91337,0.9789,0.99142
0.99127,0.96897,0.79705,0.99346,0.88429,1.0,0.89426,0.70692,0.98145,0.93875,0.98561,0.92753,0.94648,0.75989,0.9914,0.84222,0.99299,0.98992,0.94591,0.91558
0.87311,0.973,0.97882,0.87642,0.99313,0.89426,1.0,0.93834,0.85014,0.97581,0.88607,0.99245,0.98284,0.96361,0.88865,0.99245,0.90671,0.91671,0.98584,0.99673
0.68479,0.84136,0.98477,0.67738,0.93026,0.70692,0.93834,1.0,0.64937,0.8813,0.71677,0.90019,0.87831,0.99303,0.69249,0.96891,0.7203,0.73862,0.87289,0.91641
0.96035,0.93496,0.74948,0.9752,0.85142,0.98145,0.85014,0.64937,1.0,0.91282,0.97633,0.89276,0.91886,0.71105,0.9872,0.79511,0.97899,0.97621,0.90803,0.87659
0.91249,0.97712,0.93801,0.91464,0.97534,0.93875,0.97581,0.8813,0.91282,1.0,0.94419,0.97965,0.99074,0.91415,0.93213,0.95547,0.94034,0.94519,0.97538,0.97807
0.97462,0.95129,0.79924,0.96663,0.87544,0.98561,0.88607,0.71677,0.97633,0.94419,1.0,0.91437,0.93751,0.76482,0.97299,0.83706,0.97161,0.96622,0.92841,0.90606
0.90936,0.98773,0.9567,0.9174,0.9889,0.92753,0.99245,0.90019,0.89276,0.97965,0.91437,1.0,0.99414,0.93779,0.92997,0.97632,0.94303,0.95258,0.99339,0.99829
0.92725,0.98933,0.94034,0.93539,0.98273,0.94648,0.98284,0.87831,0.91886,0.99074,0.93751,0.99414,1.0,0.91799,0.94818,0.96155,0.95753,0.96435,0.98784,0.98985
0.73617,0.88288,0.99577,0.73543,0.95847,0.75989,0.96361,0.99303,0.71105,0.91415,0.76482,0.93779,0.91799,1.0,0.75486,0.9859,0.77906,0.79663,0.91017,0.94904
0.97708,0.96474,0.79322,0.99156,0.88721,0.9914,0.88865,0.69249,0.9872,0.93213,0.97299,0.92997,0.94818,0.75486,1.0,0.83719,0.9972,0.99456,0.94278,0.91397
0.81902,0.94285,0.99508,0.82196,0.98708,0.84222,0.99245,0.96891,0.79511,0.95547,0.83706,0.97632,0.96155,0.9859,0.83719,1.0,0.85902,0.87064,0.96332,0.98359
0.98105,0.97465,0.81589,0.99203,0.89985,0.99299,0.90671,0.7203,0.97899,0.94034,0.97161,0.94303,0.95753,0.77906,0.9972,0.85902,1.0,0.99602,0.95648,0.9289
0.97727,0.97976,0.82914,0.9906,0.91337,0.98992,0.91671,0.73862,0.97621,0.94519,0.96622,0.95258,0.96435,0.79663,0.99456,0.87064,0.99602,1.0,0.96212,0.93891
0.92926,0.99582,0.93586,0.9354,0.9789,0.94591,0.98584,0.87289,0.90803,0.97538,0.92841,0.99339,0.98784,0.91017,0.94278,0.96332,0.95648,0.96212,1.0,0.99225
0.89765,0.98361,0.96597,0.90206,0.99142,0.91558,0.99673,0.91641,0.87659,0.97807,0.90606,0.99829,0.98985,0.94904,0.91397,0.98359,0.9289,0.93891,0.99225,1.0
