INSTRUMENT,@3,@5,@10,@13,@15
Bass,0.7777777777777778,0.6838333333333333,0.6075099206349207,0.5805103016641479,0.5900304001554002
Drums,0.7277777777777777,0.6682777777777777,0.6025992063492065,0.6027563801777089,0.6272942005685513
Vocals,0.661111111111111,0.6316666666666666,0.582077380952381,0.5850698631205623,0.6091537829654714
Others,0.761111111111111,0.7121666666666668,0.618406746031746,0.6075026362526362,0.628603613978614
All Combined,0.7777777777777778,0.7150000000000001,0.6265119047619048,0.6045751684213223,0.6083136797065369
